2025-07-27 15:36:22.582 [main] INFO  c.e.p.ProtocolServerApplication - Starting ProtocolServerApplication using Java 20.0.1 on MartinThinkBook with PID 73316 (D:\Projects\ZJG\CleanRobotsServiceV2\source\protocol-server\target\classes started by mengf in D:\Projects\ZJG\CleanRobotsServiceV2\source\protocol-server)
2025-07-27 15:36:22.583 [main] DEBUG c.e.p.ProtocolServerApplication - Running with Spring Boot v2.7.14, Spring v5.3.29
2025-07-27 15:36:22.583 [main] INFO  c.e.p.ProtocolServerApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-27 15:36:24.991 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2025-07-27 15:36:25.002 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-27 15:36:25.003 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2025-07-27 15:36:25.137 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-27 15:36:25.138 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2498 ms
2025-07-27 15:36:25.842 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-07-27 15:36:25.900 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2025-07-27 15:36:25.913 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2025-07-27 15:36:25.925 [main] INFO  c.e.p.ProtocolServerApplication - Started ProtocolServerApplication in 3.828 seconds (JVM running for 5.297)
2025-07-27 15:36:26.359 [main] INFO  c.example.protocol.server.TcpServer - TCP Server started on port 10003
2025-07-27 15:36:26.361 [main] INFO  c.e.p.ProtocolServerApplication - 物联网协议服务器启动成功
2025-07-27 15:36:26.362 [main] INFO  c.e.p.ProtocolServerApplication - TCP端口: 8080
2025-07-27 15:36:26.362 [main] INFO  c.e.p.ProtocolServerApplication - HTTP端口: 8081
2025-07-27 15:36:26.364 [main] INFO  c.e.p.ProtocolServerApplication - WebSocket端点: ws://localhost:8081/ws/device
2025-07-27 15:36:26.364 [main] INFO  c.e.p.ProtocolServerApplication - API文档: http://localhost:8081/api/doc/info
2025-07-27 15:36:26.364 [main] INFO  c.e.p.ProtocolServerApplication - 健康检查: http://localhost:8081/api/health
2025-07-27 15:36:50.565 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-27 15:36:50.566 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-07-27 15:36:50.568 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-07-27 15:37:49.327 [SpringApplicationShutdownHook] INFO  c.example.protocol.server.TcpServer - Shutting down TCP server...
2025-07-27 15:37:49.329 [SpringApplicationShutdownHook] INFO  c.example.protocol.server.TcpServer - TCP server shutdown completed
2025-07-27 15:38:04.290 [main] INFO  c.e.p.ProtocolServerApplication - Starting ProtocolServerApplication using Java 20.0.1 on MartinThinkBook with PID 66056 (D:\Projects\ZJG\CleanRobotsServiceV2\source\protocol-server\target\classes started by mengf in D:\Projects\ZJG\CleanRobotsServiceV2\source\protocol-server)
2025-07-27 15:38:04.290 [main] DEBUG c.e.p.ProtocolServerApplication - Running with Spring Boot v2.7.14, Spring v5.3.29
2025-07-27 15:38:04.291 [main] INFO  c.e.p.ProtocolServerApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-27 15:38:05.543 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2025-07-27 15:38:05.552 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-27 15:38:05.552 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2025-07-27 15:38:05.673 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-27 15:38:05.673 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1332 ms
2025-07-27 15:38:06.351 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-07-27 15:38:06.435 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2025-07-27 15:38:06.448 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2025-07-27 15:38:06.467 [main] INFO  c.e.p.ProtocolServerApplication - Started ProtocolServerApplication in 2.589 seconds (JVM running for 2.969)
2025-07-27 15:38:06.926 [main] INFO  c.example.protocol.server.TcpServer - TCP Server started on port 10003
2025-07-27 15:38:06.927 [main] INFO  c.e.p.ProtocolServerApplication - 物联网协议服务器启动成功
2025-07-27 15:38:06.928 [main] INFO  c.e.p.ProtocolServerApplication - TCP端口: 8080
2025-07-27 15:38:06.928 [main] INFO  c.e.p.ProtocolServerApplication - HTTP端口: 8081
2025-07-27 15:38:06.928 [main] INFO  c.e.p.ProtocolServerApplication - WebSocket端点: ws://localhost:8081/ws/device
2025-07-27 15:38:06.928 [main] INFO  c.e.p.ProtocolServerApplication - API文档: http://localhost:8081/api/doc/info
